Ano;Município;Aparelho de Pesca;Nível Taxonômico;Pescado;kg no Período;valor estimado no período
2008;Bertioga;arrasto-duplo;Crustáceo;Camarão-legítimo;16504,75;285624,82
2008;Bertioga;arrasto-duplo;Crustáceo;Camarão-rosa;5980,4;178595,64
2008;Bertioga;arrasto-duplo;Crustáceo;Camarão-santana;1770;5310
2008;Bertioga;arrasto-duplo;Crustáceo;Camarão-sete-barbas;149786,8;484507,55
2008;Bertioga;arrasto-duplo;Crustáceo;Siri-candeia;126,5;297,33
2008;Bertioga;arrasto-duplo;Crustáceo;Siris agrupados;563,1;1549,48
2008;Bertioga;arrasto-duplo;Molusco;Lula;1093;4525,33
2008;Bertioga;arrasto-duplo;Molusco;Polvo;1540,6;7425,94
2008;Bertioga;arrasto-duplo;Molusco;Vieira;0,5;0,25
2008;Bertioga;arrasto-duplo;Peixe Cartilaginoso;Anequim;20;138,8
2008;Bertioga;arrasto-duplo;Peixe Cartilaginoso;Cação-anjo;141;610,19
2008;Bertioga;arrasto-duplo;Peixe Cartilaginoso;Cações agrupados;67;446,75
2008;Bertioga;arrasto-duplo;Peixe Cartilaginoso;Raias agrupadas;1;2,1
2008;Bertioga;arrasto-duplo;Peixe Cartilaginoso;Viola;332;913,13
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Abrótea;1013;4178,63
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Bagre;19,3;59,77
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Bagre-amarelo;36;46,8
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Baiacu;15,55;71,03
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Betara;3735,55;7334,82
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Bicuda;8,6;50,88
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Cabrinha;1846,8;2886,55
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Cangoá;6020,5;2574,83
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Carapeba;3;7,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Carapicu;1,5;0,45
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Caratinga;4;6,6
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Castanha;3;4,7
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Corcoroca;5,3;7,34
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Corvina;746;1453,95
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Enchova;1,2;6,9
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Espada;1895,6;2705,26
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Galo;6,95;8,24
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Goete;26,35;35,18
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Gordinho;67,2;57,84
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Guaivira;34,5;84
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Linguado;1232,8;7108,7
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Manjubas;98;432,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Maria-luíza;7307;5439,56
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Marimbá;0,3;0,26
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Mistura;1724;2210,45
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Olho-de-boi;10;100
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Oveva;1840;3025,95
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pampo;5;9,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Paru;32,8;66,87
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pescada-banana;48;192,85
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pescada-branca;235,9;1220,6
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pescada-cambucu;84,7;578,93
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pescada-foguete;88,6;484,45
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Pirajica;6,2;4,08
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Porco;1295;3052
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Robalo;1294,8;8244,44
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Roncador;0,1;0,15
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Salema;1;0,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Sargo;2;9
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Sororoca;63;283,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Tainha;1;3,5
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Tortinha;95,85;91,35
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Trilha;739;1471,88
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Vermelho;3,3;18,9
2008;Bertioga;arrasto-duplo;Peixe Ósseo;Xixarro;20;47,5
2008;Bertioga;cerco;Peixe Ósseo;Tainha;9000;31500
2008;Bertioga;emalhe-de-fundo;Peixe Cartilaginoso;Cação-anjo;7,5;30,94
2008;Bertioga;emalhe-de-fundo;Peixe Cartilaginoso;Cações agrupados;68,3;437,43
2008;Bertioga;emalhe-de-fundo;Peixe Cartilaginoso;Mangona;209;1332,5
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Agulhão-branco;17;106,85
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Bagre;36,9;134,25
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Betara;62,5;187,5
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Cangoá;1;0,5
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Corvina;318,6;1040,94
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Dourado;5,5;30,94
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Espada;31,5;59,6
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Guaivira;578;1029,25
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Linguado;1,6;10,4
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Mistura;82;108,65
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Oveva;43;50,55
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Pampo;6;11,4
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Paru;11,7;32,94
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Pescada-amarela;33,9;300,5
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Pescada-cambucu;4,4;38,98
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Pescada-foguete;240,4;1428,9
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Prejereba;13,8;82,25
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Robalo;21,2;217,7
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Sororoca;1101,7;4464,4
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Tainha;16,3;48,9
2008;Bertioga;emalhe-de-fundo;Peixe Ósseo;Vermelho;8,7;65,25
2008;Bertioga;emalhes-diversos;Crustáceo;Camarão-legítimo;18,05;387,69
2008;Bertioga;emalhes-diversos;Peixe Cartilaginoso;Cações agrupados;534;3046,92
2008;Bertioga;emalhes-diversos;Peixe Cartilaginoso;Cambeva;7;49
2008;Bertioga;emalhes-diversos;Peixe Cartilaginoso;Mangona;50;350
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Bagre;550,3;1278,75
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Baiacu;1;5,5
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Betara;715;1498,5
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Bicuda;219,8;995,34
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Cangoá;184,4;74,19
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Corvina;5526,8;17098,21
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Dourado;5,5;30,94
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Espada;280,3;467,3
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Galo;0,2;0,6
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Garoupa;1;8,5
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Goete;21,6;28,8
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Guaivira;5256,5;7285
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Maria-luíza;137;57,53
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Mistura;32;42,4
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Oveva;222;212,4
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Pampo;9,9;39,6
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Pescada-branca;17;85
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Pescada-cambucu;59,7;486,35
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Pescada-foguete;2018,7;10123,65
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Pirajica;14,5;15,28
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Prejereba;65;267
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Robalo;217,9;2138,87
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Robalo-flecha;476;4831,4
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Robalo-peva;12;54
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Roncador;17;8,5
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Sari-sari;80;180
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Sororoca;1367,5;5368,03
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Tainha;106,5;372,5
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Trombeta;2,2;3,3
2008;Bertioga;emalhes-diversos;Peixe Ósseo;Vermelho;14,5;137,5
2008;Bertioga;linha-de-mão;Peixe Ósseo;Enchova;102;586,5
2008;Bertioga;multi-artes;Crustáceo;Camarão-legítimo;33,5;333
2008;Bertioga;multi-artes;Crustáceo;Camarão-sete-barbas;889;3551,3
2008;Bertioga;multi-artes;Crustáceo;Siris agrupados;5;18,75
2008;Bertioga;multi-artes;Peixe Cartilaginoso;Cações agrupados;1392;8568,67
2008;Bertioga;multi-artes;Peixe Cartilaginoso;Mangona;57;370,5
2008;Bertioga;multi-artes;Peixe Ósseo;Atuns agrupados;26;266,5
2008;Bertioga;multi-artes;Peixe Ósseo;Bagre;10;25
2008;Bertioga;multi-artes;Peixe Ósseo;Baiacu;1;5,5
2008;Bertioga;multi-artes;Peixe Ósseo;Betara;5;15
2008;Bertioga;multi-artes;Peixe Ósseo;Cangoá;25;12,5
2008;Bertioga;multi-artes;Peixe Ósseo;Corvina;235;749,5
2008;Bertioga;multi-artes;Peixe Ósseo;Dourado;29;163,13
2008;Bertioga;multi-artes;Peixe Ósseo;Espada;29;62,17
2008;Bertioga;multi-artes;Peixe Ósseo;Galo;2,4;7,2
2008;Bertioga;multi-artes;Peixe Ósseo;Guaivira;74;139,25
2008;Bertioga;multi-artes;Peixe Ósseo;Maria-luíza;39;44,85
2008;Bertioga;multi-artes;Peixe Ósseo;Mistura;13,5;23,38
2008;Bertioga;multi-artes;Peixe Ósseo;Oveva;3;5,5
2008;Bertioga;multi-artes;Peixe Ósseo;Pescada-amarela;1,5;15
2008;Bertioga;multi-artes;Peixe Ósseo;Pescada-cambucu;1,5;10,5
2008;Bertioga;multi-artes;Peixe Ósseo;Pescada-foguete;17;91,5
2008;Bertioga;multi-artes;Peixe Ósseo;Pirajica;20;40
2008;Bertioga;multi-artes;Peixe Ósseo;Prejereba;8;48
2008;Bertioga;multi-artes;Peixe Ósseo;Robalo;10;90,75
2008;Bertioga;multi-artes;Peixe Ósseo;Sororoca;153;648,5
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Manjuba-branca;875,7;9961,09
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Manjuba-chata;11260,1;128083,64
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Manjubas agrupadas;2859,6;5845,96
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Sari-sari;4;9
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Sororoca;5;18,5
2008;Cananéia;arrasto-de-mão;Peixe Ósseo;Tainha;10121,5;29338,09
2008;Cananéia;arrasto-duplo;Crustáceo;Camarão-estuarino;0,9;28,13
2008;Cananéia;arrasto-duplo;Crustáceo;Camarão-legítimo;10993,52;146872,81
2008;Cananéia;arrasto-duplo;Crustáceo;Camarão-rosa;23065,8;814507,13
2008;Cananéia;arrasto-duplo;Crustáceo;Camarão-santana;3932;11796
2008;Cananéia;arrasto-duplo;Crustáceo;Camarão-sete-barbas;731834,1;1660415,29
2008;Cananéia;arrasto-duplo;Crustáceo;Lagosta;2,6;52
2008;Cananéia;arrasto-duplo;Crustáceo;Sapateira;60;971,4
2008;Cananéia;arrasto-duplo;Molusco;Lula;22246,8;99521,53
2008;Cananéia;arrasto-duplo;Molusco;Polvo;3406;24099,25
2008;Cananéia;arrasto-duplo;Molusco;Vieira;16,7;8,35
2008;Cananéia;arrasto-duplo;Peixe Cartilaginoso;Anequim;23;159,62
2008;Cananéia;arrasto-duplo;Peixe Cartilaginoso;Cações agrupados;2963,5;10186,25
2008;Cananéia;arrasto-duplo;Peixe Cartilaginoso;Raia-emplastro;376;329
2008;Cananéia;arrasto-duplo;Peixe Cartilaginoso;Raias agrupadas;426;264,31
2008;Cananéia;arrasto-duplo;Peixe Cartilaginoso;Viola;322,8;588,2
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Abrótea;919;3790,88
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Bagre;125,7;257,12
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Baiacu;86;473
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Betara;12051,3;21065,89
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Cabrinha;5283;6471,68
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Caranha;26;52
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Congro-rosa;90;576,45
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Corvina;2494,7;4392,66
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Enchova;11;63,25
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Espada;1350;1961,3
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Galo;4;12
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Garoupa;69,5;677,83
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Goete;632;1441,4
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Guaivira;30;55
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Linguado;8095,5;54453,9
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Maria-mole;45;120,38
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Mistura;112381,5;106717,38
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Olho-de-cão;15;43,13
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Oveva;13;31,85
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pargo-rosa;566;1392,63
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Paru;97;79,67
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pescada-amarela;9;90
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pescada-banana;44;157,25
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pescada-branca;119;709
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pescada-cambucu;30,8;208,3
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Pescada-foguete;994,8;4283,14
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Porco;15546,9;60331
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Prejereba;30,7;154,4
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Robalo-peva;10,5;73,35
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Roncador;6;9
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Sororoca;17,7;66,45
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Tainha;3;12,31
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Tira-vira;31;44,95
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Trilha;17788;26327,5
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Vermelho;37;111
2008;Cananéia;arrasto-duplo;Peixe Ósseo;Xixarro;99;235,13
2008;Cananéia;arrasto-simples;Crustáceo;Camarão-legítimo;1576;23265,76
2008;Cananéia;arrasto-simples;Crustáceo;Camarão-sete-barbas;1081;2694,04
2008;Cananéia;arrasto-simples;Molusco;Lula;33,5;39
2008;Cananéia;arrasto-simples;Molusco;Polvo;1,9;13,3
2008;Cananéia;arrasto-simples;Peixe Ósseo;Bagre;4,3;9,46
2008;Cananéia;arrasto-simples;Peixe Ósseo;Betara;1,6;2,4
2008;Cananéia;arrasto-simples;Peixe Ósseo;Garoupa;3,1;31
2008;Cananéia;arrasto-simples;Peixe Ósseo;Linguado;6;36
2008;Cananéia;arrasto-simples;Peixe Ósseo;Mistura;407,5;369,94
2008;Cananéia;arrasto-simples;Peixe Ósseo;Parati;26;41,6
2008;Cananéia;arrasto-simples;Peixe Ósseo;Pescada-foguete;300;1242
2008;Cananéia;arrasto-simples;Peixe Ósseo;Sororoca;13,5;40,5
2008;Cananéia;arrasto-simples;Peixe Ósseo;Tainha;6,5;22,75
2008;Cananéia;cerco;Peixe Ósseo;Cavalinha;4400;7986
2008;Cananéia;cerco;Peixe Ósseo;Corvina;33;75,64
2008;Cananéia;cerco;Peixe Ósseo;Espada;70;49
2008;Cananéia;cerco;Peixe Ósseo;Galo;343;1029
2008;Cananéia;cerco;Peixe Ósseo;Goete;85;0
2008;Cananéia;cerco;Peixe Ósseo;Guaivira;5;8,75
2008;Cananéia;cerco;Peixe Ósseo;Mistura;2839;1691,3
2008;Cananéia;cerco;Peixe Ósseo;Palombeta;24100;33740
2008;Cananéia;cerco;Peixe Ósseo;Robalo-peva;3;21,6
2008;Cananéia;cerco;Peixe Ósseo;Sardinha-bandeira;15640;37536
2008;Cananéia;cerco;Peixe Ósseo;Sardinha-verdadeira;88118;156623,5
2008;Cananéia;cerco;Peixe Ósseo;Tainha;2605;6608,16
2008;Cananéia;cerco;Peixe Ósseo;Xixarro;60;142,5
2008;Cananéia;cerco-fixo;Peixe Cartilaginoso;Raias agrupadas;439,2;262,92
2008;Cananéia;cerco-fixo;Peixe Ósseo;Bagre;251,6;522,57
2008;Cananéia;cerco-fixo;Peixe Ósseo;Bagre-amarelo;7,5;7,95
2008;Cananéia;cerco-fixo;Peixe Ósseo;Caranha;75,1;179,8
2008;Cananéia;cerco-fixo;Peixe Ósseo;Carapeba;2878,3;5971,42
2008;Cananéia;cerco-fixo;Peixe Ósseo;Cioba;16;41
2008;Cananéia;cerco-fixo;Peixe Ósseo;Corvina;748,6;1646,74
2008;Cananéia;cerco-fixo;Peixe Ósseo;Garoupa;65,8;643,25
2008;Cananéia;cerco-fixo;Peixe Ósseo;Guaivira;673,5;1105
2008;Cananéia;cerco-fixo;Peixe Ósseo;Linguado;60,1;418,35
2008;Cananéia;cerco-fixo;Peixe Ósseo;Miraguaia;80;145,5
2008;Cananéia;cerco-fixo;Peixe Ósseo;Mistura;262,8;203,94
2008;Cananéia;cerco-fixo;Peixe Ósseo;Pampo;12;18
2008;Cananéia;cerco-fixo;Peixe Ósseo;Parati;7365,7;11622,02
2008;Cananéia;cerco-fixo;Peixe Ósseo;Paru;119,2;172,06
2008;Cananéia;cerco-fixo;Peixe Ósseo;Pescada-amarela;236,9;2356,08
2008;Cananéia;cerco-fixo;Peixe Ósseo;Pescada-branca;1;4
2008;Cananéia;cerco-fixo;Peixe Ósseo;Pescada-dentão;99,9;589,49
2008;Cananéia;cerco-fixo;Peixe Ósseo;Pescada-foguete;11,9;57,43
2008;Cananéia;cerco-fixo;Peixe Ósseo;Prejereba;82;423,63
2008;Cananéia;cerco-fixo;Peixe Ósseo;Robalo-flecha;632,1;8979,43
2008;Cananéia;cerco-fixo;Peixe Ósseo;Robalo-peva;786,8;5384,87
2008;Cananéia;cerco-fixo;Peixe Ósseo;Sargo;19;17,3
2008;Cananéia;cerco-fixo;Peixe Ósseo;Sororoca;103;355
2008;Cananéia;cerco-fixo;Peixe Ósseo;Tainha;107537,7;316697,81
2008;Cananéia;covo-polvo;Molusco;Polvo;3000;21000
2008;Cananéia;emalhe-de-fundo;Crustáceo;Camarão-legítimo;57;1080,03
2008;Cananéia;emalhe-de-fundo;Crustáceo;Camarão-rosa;1;30
2008;Cananéia;emalhe-de-fundo;Crustáceo;Lagosta;499;17158,5
2008;Cananéia;emalhe-de-fundo;Crustáceo;Sapateira;13;19,5
2008;Cananéia;emalhe-de-fundo;Molusco;Lula;23;115
2008;Cananéia;emalhe-de-fundo;Molusco;Polvo;16,2;85,09
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Anequim;17;117,98
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Cação-anjo;628;2286,06
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Cação-rola-rola;2158,7;2528,13
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Cações agrupados;22154,2;105599,48
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Cambeva;5316;37212
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Machote;881;4955,63
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Raias agrupadas;1752,6;1326,16
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Tintureira;22;66
2008;Cananéia;emalhe-de-fundo;Peixe Cartilaginoso;Viola;785,2;1209,88
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Abrótea;4;16,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Agulhão-vela platypterus;118;741,63
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Badejo;20;100
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Bagre;16807,9;36194,71
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Bagre-amarelo;471,5;540,7
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Betara;186648,1;320294,03
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Bicuda;667,5;3204
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Bonitos agrupados;1924;8802,3
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Cabrinha;23966;29358,35
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Caranha;84,1;245,6
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Carapau;230;1164,95
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Carapeba;135;240,2
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Caratinga;1,5;4,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Castanha;13;18,2
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Cioba;95,7;296,73
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Corvina;513403,5;1081404,9
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Dourado;780;4387,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Enchova;1559,5;6130,88
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Espada;31451,3;36857,92
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Galo;719;1960,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Garoupa;129,1;1256,05
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Goete;88688;210694,9
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Gordinho;551;826,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Guaivira;65647,3;101290,44
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Linguado;1328,3;9075,63
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Maria-luíza;1863;3539,7
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Maria-mole;900;2407,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Miraguaia;407,9;833,8
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Mistura;200753,7;165971,06
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Olhete;28;224
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Olho-de-boi;320;1760
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Olho-de-cão;408;1173
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Oveva;25231;61815,95
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Palombeta;2008;2811,2
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pampo;479;881,4
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Parambiju;43;419,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Parati;904,9;1484,98
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pargo-rosa;1394;3653,63
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Paru;205,7;240,74
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-amarela;7567,8;75542,82
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-banana;1367,5;5052,13
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-branca;11672,4;65584,35
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-cambucu;11723,4;67465,05
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-dentão;1929,8;11729,36
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescada-foguete;548441,8;2177748,02
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pescadas agrupadas;161,5;734,25
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Pirajica;29;14,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Porco;2862,5;12152,5
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Prejereba;2925,7;14410,77
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Robalo-flecha;3856,6;55468,84
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Robalo-peva;4903,8;35649,9
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Roncador;10720;16080
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Saguá;14,5;11,6
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Salema;7;10
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Sardinha-verdadeira;240;330
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Sargo;79,5;129,55
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Sari-sari;4999;7467,68
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Sororoca;18367,5;72215,66
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Tainha;1807,6;6030,28
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Tortinha;13,3;15,8
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Trilha;1904;4046,25
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Vermelho;244;993,83
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Xarelete;5;36,58
2008;Cananéia;emalhe-de-fundo;Peixe Ósseo;Xaréu;40;150
2008;Cananéia;emalhe-de-superfície;Crustáceo;Lagosta;0,5;5
2008;Cananéia;emalhe-de-superfície;Peixe Cartilaginoso;Cação-anjo;14;57,75
2008;Cananéia;emalhe-de-superfície;Peixe Cartilaginoso;Cação-rola-rola;6;9
